date,open,high,low,close,volume,average,barCount
2025-04-08 09:30:00-04:00,245.0,246.44,244.51,246.3,1587878.0,245.35,4331
2025-04-08 09:31:00-04:00,246.23,248.5,245.18,247.1,990944.0,247.248,4929
2025-04-08 09:32:00-04:00,247.03,248.22,244.7,245.0,700363.0,246.834,3679
2025-04-08 09:33:00-04:00,245.12,248.86,244.14,247.16,912154.0,246.582,4187
2025-04-08 09:34:00-04:00,247.11,248.23,246.56,247.47,507695.0,247.579,2581
2025-04-08 09:35:00-04:00,247.45,247.57,244.61,244.82,623297.0,245.992,3316
2025-04-08 09:36:00-04:00,244.79,245.89,244.6,244.95,587674.0,245.138,3444
2025-04-08 09:37:00-04:00,244.98,245.08,242.9,243.64,714072.0,243.576,3741
2025-04-08 09:38:00-04:00,243.6,244.25,242.51,242.8,486312.0,243.326,2794
2025-04-08 09:39:00-04:00,242.83,244.65,242.77,243.97,537579.0,243.96,2804
2025-04-08 09:40:00-04:00,244.04,244.25,242.4,242.49,537148.0,243.286,2743
2025-04-08 09:41:00-04:00,242.55,243.0,241.7,242.94,501394.0,242.304,2334
2025-04-08 09:42:00-04:00,242.99,244.67,242.89,243.85,483737.0,243.845,2361
2025-04-08 09:43:00-04:00,243.82,245.13,243.28,244.36,548399.0,244.46,2429
2025-04-08 09:44:00-04:00,244.31,244.85,243.8,244.42,367477.0,244.403,1784
2025-04-08 09:45:00-04:00,244.38,245.7,244.18,245.56,471643.0,245.25,2342
2025-04-08 09:46:00-04:00,245.56,246.47,245.2,246.08,470596.0,245.985,2248
2025-04-08 09:47:00-04:00,246.06,246.29,244.62,244.76,386902.0,245.354,1987
2025-04-08 09:48:00-04:00,244.74,245.0,243.02,243.06,427099.0,244.128,2210
2025-04-08 09:49:00-04:00,243.06,243.69,241.34,241.34,585255.0,242.491,2768
2025-04-08 09:50:00-04:00,241.51,242.41,241.4,241.99,377488.0,241.9,2014
2025-04-08 09:51:00-04:00,242.05,243.5,241.86,243.0,430000.0,242.721,2000
2025-04-08 09:52:00-04:00,243.0,243.87,242.91,243.4,290550.0,243.418,1485
2025-04-08 09:53:00-04:00,243.38,244.5,243.38,244.26,342440.0,244.029,1941
2025-04-08 09:54:00-04:00,244.27,245.35,244.15,244.78,386720.0,244.669,1946
2025-04-08 09:55:00-04:00,244.78,244.86,243.84,244.13,235564.0,244.278,1329
2025-04-08 09:56:00-04:00,244.08,244.64,243.63,244.52,225524.0,244.177,1307
2025-04-08 09:57:00-04:00,244.5,245.6,243.57,245.11,494466.0,244.717,2462
2025-04-08 09:58:00-04:00,245.11,246.16,245.0,245.68,406893.0,245.772,2104
2025-04-08 09:59:00-04:00,245.69,245.95,245.36,245.64,293890.0,245.631,1534
2025-04-08 10:00:00-04:00,245.57,246.3,244.51,245.9,520102.0,245.451,2460
2025-04-08 10:01:00-04:00,246.0,246.55,245.01,245.1,333657.0,245.514,1749
2025-04-08 10:02:00-04:00,245.15,246.7,244.86,246.67,442687.0,245.758,2045
2025-04-08 10:03:00-04:00,246.6,246.78,246.04,246.59,393563.0,246.48,2085
2025-04-08 10:04:00-04:00,246.6,247.23,246.32,246.59,393926.0,246.886,2143
2025-04-08 10:05:00-04:00,246.68,247.58,246.35,247.34,444978.0,247.161,2246
2025-04-08 10:06:00-04:00,247.37,247.42,246.65,246.79,324433.0,246.996,1822
2025-04-08 10:07:00-04:00,246.84,246.97,245.6,246.23,418391.0,246.162,2182
2025-04-08 10:08:00-04:00,246.22,246.75,245.77,246.66,243923.0,246.39,1447
2025-04-08 10:09:00-04:00,246.66,247.79,246.3,247.73,424698.0,247.226,2243
2025-04-08 10:10:00-04:00,247.8,248.14,246.89,246.97,454921.0,247.519,2359
2025-04-08 10:11:00-04:00,246.8,247.6,246.5,247.06,367490.0,247.11,1908
2025-04-08 10:12:00-04:00,247.17,247.7,246.24,247.45,404968.0,247.009,2151
2025-04-08 10:13:00-04:00,247.51,247.88,246.77,247.35,310768.0,247.332,1658
2025-04-08 10:14:00-04:00,247.34,247.87,247.0,247.6,298278.0,247.5,1573
2025-04-08 10:15:00-04:00,247.62,247.77,247.12,247.7,257629.0,247.434,1342
2025-04-08 10:16:00-04:00,247.7,248.41,247.2,247.47,521133.0,247.747,2538
