entry_time,entry_price,exit_price,net_pnl
2025-04-14 10:03:00-04:00,258.63,260.7099999999999,20.599999999999273
2025-04-14 10:43:00-04:00,257.13,254.90999999999997,-22.400000000000272
2025-04-14 13:53:00-04:00,248.96,250.18000000000004,12.000000000000274
2025-04-14 13:55:00-04:00,248.94,249.39999999999998,4.399999999999795
2025-04-14 14:08:00-04:00,249.51,249.34999999999997,-1.80000000000025
2025-04-14 14:39:00-04:00,250.33,251.83000000000007,14.80000000000057
2025-04-14 14:40:00-04:00,250.25,250.67000000000002,4.000000000000159
2025-04-14 14:43:00-04:00,251.44,253.44,19.8
2025-04-14 14:44:00-04:00,251.41,252.89000000000001,14.600000000000183
2025-04-14 15:07:00-04:00,253.14,255.14,19.8
2025-04-14 15:08:00-04:00,253.25,254.67000000000002,14.00000000000016
2025-04-14 15:09:00-04:00,253.29,254.27,9.600000000000183
2025-04-14 15:12:00-04:00,253.46,253.92000000000004,4.400000000000364
2025-04-14 15:15:00-04:00,253.25,253.09000000000003,-1.7999999999996816
