entry_time,entry_price,exit_price,net_pnl,pnl_per_share,capital_required
2025-04-07 10:01:00-04:00,229.82,231.48000000000002,165.8000000000025,1.660000000000025,22982.0
2025-04-07 10:27:00-04:00,230.36,229.52000000000004,-84.1999999999975,-0.839999999999975,23036.0
2025-04-07 10:21:00-04:00,236.86,243.84000000000003,697.8000000000018,6.980000000000018,23686.0
2025-04-07 10:13:00-04:00,248.85,276.37,2751.800000000001,27.52000000000001,24885.0
2025-04-07 10:20:00-04:00,234.0,222.60000000000002,-1140.1999999999978,-11.399999999999977,23400.0
2025-04-07 10:15:00-04:00,245.38,251.36,597.8000000000018,5.980000000000018,24538.0
2025-04-07 10:56:00-04:00,233.14,230.11999999999995,-302.20000000000385,-3.0200000000000387,23314.0
2025-04-07 13:44:00-04:00,235.27,238.93000000000004,365.8000000000025,3.660000000000025,23527.0
2025-04-07 13:45:00-04:00,235.03,236.19000000000003,115.8000000000025,1.160000000000025,23503.0
2025-04-07 13:59:00-04:00,236.75,237.59000000000003,83.80000000000318,0.8400000000000318,23675.0
2025-04-07 14:00:00-04:00,236.45,236.31,-14.199999999998635,-0.13999999999998636,23645.0
