date,open,high,low,close,volume,average,barCount
2025-03-26 09:30:00-04:00,282.61,283.63,281.32,282.36,1249961.0,282.491,3413
2025-03-26 09:31:00-04:00,282.25,283.92,281.75,281.81,656312.0,282.819,3138
2025-03-26 09:32:00-04:00,281.78,282.97,281.2,281.87,558227.0,281.981,2886
2025-03-26 09:33:00-04:00,281.83,281.83,280.5,281.17,623067.0,281.083,2879
2025-03-26 09:34:00-04:00,281.17,281.77,280.64,281.19,504374.0,281.162,2771
2025-03-26 09:35:00-04:00,281.14,282.0,280.42,280.86,595575.0,281.144,3049
2025-03-26 09:36:00-04:00,280.78,281.96,280.77,281.4,578290.0,281.562,3000
2025-03-26 09:37:00-04:00,281.41,282.6,281.1,282.49,526267.0,281.734,2796
2025-03-26 09:38:00-04:00,282.45,283.28,282.4,282.5,639243.0,282.831,3088
2025-03-26 09:39:00-04:00,282.43,282.8,281.69,282.37,399508.0,282.197,2124
2025-03-26 09:40:00-04:00,282.43,283.41,282.32,283.0,505193.0,283.024,2325
2025-03-26 09:41:00-04:00,282.95,283.34,282.4,283.21,381006.0,282.842,1883
2025-03-26 09:42:00-04:00,283.15,284.49,282.93,283.93,759348.0,283.916,3237
2025-03-26 09:43:00-04:00,283.97,284.45,283.09,283.4,482740.0,283.559,2395
2025-03-26 09:44:00-04:00,283.36,283.82,282.86,283.44,392214.0,283.329,1810
2025-03-26 09:45:00-04:00,283.48,284.9,283.41,284.24,470235.0,284.326,2145
2025-03-26 09:46:00-04:00,284.25,284.34,283.1,283.75,318023.0,283.743,1665
2025-03-26 09:47:00-04:00,283.75,283.75,282.5,283.28,431929.0,283.048,1987
2025-03-26 09:48:00-04:00,283.27,283.74,282.59,282.82,338106.0,283.034,1716
2025-03-26 09:49:00-04:00,282.77,283.14,282.5,283.07,344295.0,282.705,1623
2025-03-26 09:50:00-04:00,283.04,283.66,282.53,282.95,348669.0,283.109,1706
2025-03-26 09:51:00-04:00,282.94,283.74,282.58,282.72,386992.0,283.158,1694
2025-03-26 09:52:00-04:00,282.71,283.29,282.31,282.59,396500.0,282.672,1880
2025-03-26 09:53:00-04:00,282.66,282.78,281.34,281.52,508331.0,281.944,2320
2025-03-26 09:54:00-04:00,281.46,282.65,281.44,282.64,327658.0,282.038,1591
2025-03-26 09:55:00-04:00,282.55,282.7,281.03,281.06,319915.0,281.759,1650
2025-03-26 09:56:00-04:00,281.06,281.29,278.44,278.74,1101668.0,279.642,4897
2025-03-26 09:57:00-04:00,278.78,278.85,277.62,278.01,789560.0,278.059,3371
2025-03-26 09:58:00-04:00,278.0,278.9,277.61,278.89,564107.0,278.349,2666
2025-03-26 09:59:00-04:00,278.9,279.34,278.57,278.78,516068.0,278.95,2537
2025-03-26 10:00:00-04:00,278.81,279.9,278.33,279.87,487670.0,279.204,2339
2025-03-26 10:01:00-04:00,279.89,280.4,279.7,280.11,461321.0,280.054,2204
2025-03-26 10:02:00-04:00,280.03,280.32,279.2,279.84,459335.0,279.808,2089
2025-03-26 10:03:00-04:00,279.88,280.63,279.46,279.53,369064.0,280.075,1629
2025-03-26 10:04:00-04:00,279.52,279.77,278.19,278.8,479415.0,278.855,2315
2025-03-26 10:05:00-04:00,278.86,279.46,278.41,278.76,270516.0,278.96,1201
2025-03-26 10:06:00-04:00,278.77,278.99,278.06,278.37,278075.0,278.455,1279
2025-03-26 10:07:00-04:00,278.35,278.99,277.95,278.56,398495.0,278.444,1959
