date,open,high,low,close,volume,average,barCount
2025-03-28 09:30:00-04:00,275.57,275.6,274.0,274.18,880446.0,274.893,3102
2025-03-28 09:31:00-04:00,274.31,274.88,271.65,271.79,677108.0,273.151,3073
2025-03-28 09:32:00-04:00,271.76,272.71,271.04,271.46,564844.0,271.852,2734
2025-03-28 09:33:00-04:00,271.45,271.97,270.21,270.6,569760.0,270.915,2564
2025-03-28 09:34:00-04:00,270.61,270.9,268.84,269.41,753558.0,269.745,3065
2025-03-28 09:35:00-04:00,269.38,270.5,268.92,269.11,616507.0,269.546,2798
2025-03-28 09:36:00-04:00,269.12,271.42,269.1,271.33,670174.0,270.5,3217
2025-03-28 09:37:00-04:00,271.31,271.98,268.88,269.93,622735.0,270.324,3110
2025-03-28 09:38:00-04:00,269.89,271.29,269.15,271.1,411233.0,269.99,2124
2025-03-28 09:39:00-04:00,271.16,271.72,270.6,270.8,487545.0,271.184,2374
2025-03-28 09:40:00-04:00,270.7,271.85,270.16,270.63,373836.0,270.898,1873
2025-03-28 09:41:00-04:00,270.64,270.9,269.83,270.36,304250.0,270.375,1393
2025-03-28 09:42:00-04:00,270.42,274.37,270.32,274.18,737305.0,272.94,3150
2025-03-28 09:43:00-04:00,274.22,274.39,272.32,272.91,536048.0,273.328,2337
2025-03-28 09:44:00-04:00,272.88,273.58,272.3,273.11,296758.0,272.826,1490
2025-03-28 09:45:00-04:00,273.11,274.18,272.89,273.7,334466.0,273.624,1513
2025-03-28 09:46:00-04:00,273.76,274.2,273.21,273.78,290497.0,273.814,1368
2025-03-28 09:47:00-04:00,273.73,275.91,273.48,275.86,582237.0,274.936,2465
2025-03-28 09:48:00-04:00,275.78,276.1,274.63,275.31,459705.0,275.357,2052
2025-03-28 09:49:00-04:00,275.4,275.46,274.3,274.5,313190.0,274.715,1357
2025-03-28 09:50:00-04:00,274.5,274.57,273.42,274.07,344542.0,273.975,1522
2025-03-28 09:51:00-04:00,274.06,274.3,272.6,272.67,393350.0,273.2,1559
2025-03-28 09:52:00-04:00,272.71,273.15,271.51,271.62,431993.0,272.296,2001
2025-03-28 09:53:00-04:00,271.57,272.5,271.25,272.43,355492.0,271.779,1639
2025-03-28 09:54:00-04:00,272.38,273.75,272.3,273.02,421551.0,273.285,1847
2025-03-28 09:55:00-04:00,273.09,273.22,271.85,272.15,242521.0,272.465,1195
2025-03-28 09:56:00-04:00,272.13,272.68,271.89,272.24,172945.0,272.262,819
2025-03-28 09:57:00-04:00,272.23,273.2,271.66,273.05,276750.0,272.411,1113
2025-03-28 09:58:00-04:00,273.05,274.15,272.9,273.64,370436.0,273.652,1761
2025-03-28 09:59:00-04:00,273.72,273.79,273.02,273.25,161715.0,273.321,772
2025-03-28 10:00:00-04:00,273.11,274.58,271.8,273.0,490287.0,273.516,2376
2025-03-28 10:01:00-04:00,273.06,273.27,272.15,272.9,242374.0,272.721,1161
2025-03-28 10:02:00-04:00,272.82,272.85,271.39,272.38,308149.0,271.998,1369
2025-03-28 10:03:00-04:00,272.48,273.0,271.63,271.72,271409.0,272.42,1221
2025-03-28 10:04:00-04:00,271.79,272.38,270.85,271.0,312155.0,271.603,1470
2025-03-28 10:05:00-04:00,270.97,271.21,270.05,270.41,465617.0,270.631,2357
2025-03-28 10:06:00-04:00,270.4,271.67,269.48,269.72,556520.0,270.437,2716
2025-03-28 10:07:00-04:00,269.72,269.92,269.3,269.92,343143.0,269.674,1604
2025-03-28 10:08:00-04:00,269.92,270.44,268.31,268.48,591318.0,269.063,2772
2025-03-28 10:09:00-04:00,268.51,269.79,268.13,269.37,489138.0,268.869,2182
