date,open,high,low,close,volume,average,barCount
2025-03-27 09:30:00-04:00,272.4,274.57,271.82,274.34,1123275.0,272.868,3123
2025-03-27 09:31:00-04:00,274.31,276.87,273.04,275.97,1094170.0,275.366,4693
2025-03-27 09:32:00-04:00,275.96,276.42,274.58,275.21,623409.0,275.524,2707
2025-03-27 09:33:00-04:00,275.29,275.29,274.11,274.29,468322.0,274.584,2399
2025-03-27 09:34:00-04:00,274.22,276.09,273.02,275.44,836940.0,274.476,3477
2025-03-27 09:35:00-04:00,275.44,275.74,272.77,273.81,543468.0,273.794,2403
2025-03-27 09:36:00-04:00,273.88,274.8,273.26,274.15,383236.0,274.079,1722
2025-03-27 09:37:00-04:00,274.29,274.46,273.1,273.88,344356.0,273.84,1610
2025-03-27 09:38:00-04:00,273.97,274.61,273.45,273.75,375420.0,274.08,1740
2025-03-27 09:39:00-04:00,273.75,274.39,273.4,273.72,334982.0,273.826,1319
2025-03-27 09:40:00-04:00,273.52,274.55,272.82,274.5,548341.0,273.639,2347
2025-03-27 09:41:00-04:00,274.53,274.96,274.06,274.21,360587.0,274.516,1727
2025-03-27 09:42:00-04:00,274.18,276.37,273.91,276.13,708894.0,275.51,3111
2025-03-27 09:43:00-04:00,275.9,278.08,275.73,278.03,882617.0,277.289,3546
2025-03-27 09:44:00-04:00,278.03,278.19,276.62,277.08,639270.0,277.378,2683
2025-03-27 09:45:00-04:00,277.01,277.39,275.97,276.45,510968.0,276.602,2492
2025-03-27 09:46:00-04:00,276.55,277.4,276.45,277.2,432509.0,276.926,1806
2025-03-27 09:47:00-04:00,277.19,277.57,275.61,275.87,446193.0,276.708,2095
2025-03-27 09:48:00-04:00,275.86,275.97,273.65,275.12,626207.0,274.649,2940
2025-03-27 09:49:00-04:00,275.08,276.66,274.92,276.47,440121.0,275.676,1986
2025-03-27 09:50:00-04:00,276.38,277.84,276.15,277.69,612964.0,277.103,2727
2025-03-27 09:51:00-04:00,277.63,277.8,276.9,276.97,403221.0,277.319,1816
2025-03-27 09:52:00-04:00,277.03,277.45,276.4,276.9,364268.0,276.906,1575
2025-03-27 09:53:00-04:00,276.85,277.17,276.4,276.72,253833.0,276.802,1308
2025-03-27 09:54:00-04:00,276.66,278.69,276.44,278.43,633802.0,278.127,2798
2025-03-27 09:55:00-04:00,278.5,278.96,277.91,278.0,716329.0,278.451,2613
2025-03-27 09:56:00-04:00,278.07,279.39,277.62,279.05,681629.0,278.742,2828
2025-03-27 09:57:00-04:00,279.1,279.25,278.14,278.21,403423.0,278.572,1908
2025-03-27 09:58:00-04:00,278.24,278.94,277.34,278.2,450301.0,278.109,2045
2025-03-27 09:59:00-04:00,278.27,278.75,278.07,278.67,262065.0,278.387,1262
2025-03-27 10:00:00-04:00,278.62,279.2,278.2,278.99,384348.0,278.76,1594
2025-03-27 10:01:00-04:00,278.99,279.74,278.39,279.36,463064.0,279.092,1928
2025-03-27 10:02:00-04:00,279.43,279.78,279.07,279.22,372542.0,279.384,1671
2025-03-27 10:03:00-04:00,279.13,279.98,278.91,278.93,526076.0,279.46,2232
2025-03-27 10:04:00-04:00,278.93,279.7,278.9,279.0,315155.0,279.334,1499
2025-03-27 10:05:00-04:00,279.0,280.39,278.8,280.19,549921.0,279.626,2302
2025-03-27 10:06:00-04:00,280.19,280.3,279.1,279.51,367017.0,279.648,1784
2025-03-27 10:07:00-04:00,279.56,279.56,278.1,278.66,404734.0,278.554,2031
2025-03-27 10:08:00-04:00,278.66,278.73,277.65,277.66,422291.0,278.039,1741
2025-03-27 10:09:00-04:00,277.65,278.5,277.5,278.16,402165.0,277.921,1540
2025-03-27 10:10:00-04:00,278.14,278.3,276.73,276.95,390020.0,277.498,1634
2025-03-27 10:11:00-04:00,276.95,277.52,276.65,277.24,426628.0,277.061,1889
2025-03-27 10:12:00-04:00,277.21,277.86,276.8,277.86,332361.0,277.257,1476
2025-03-27 10:13:00-04:00,277.79,278.75,277.78,278.41,385133.0,278.318,1684
2025-03-27 10:14:00-04:00,278.45,279.28,278.24,279.25,371556.0,278.851,1819
2025-03-27 10:15:00-04:00,279.3,280.07,278.81,278.89,447697.0,279.58,2100
2025-03-27 10:16:00-04:00,278.86,279.19,278.13,278.42,277895.0,278.753,1161
2025-03-27 10:17:00-04:00,278.43,278.87,277.77,278.74,211753.0,278.314,993
2025-03-27 10:18:00-04:00,278.74,278.95,278.14,278.42,173658.0,278.503,742
2025-03-27 10:19:00-04:00,278.37,278.65,277.98,278.35,163790.0,278.328,746
2025-03-27 10:20:00-04:00,278.4,278.82,277.8,277.86,240745.0,278.243,958
2025-03-27 10:21:00-04:00,277.85,278.23,277.11,277.46,274108.0,277.681,1209
2025-03-27 10:22:00-04:00,277.46,277.8,277.05,277.34,223459.0,277.429,953
2025-03-27 10:23:00-04:00,277.35,277.71,276.93,277.67,247131.0,277.188,1068
2025-03-27 10:24:00-04:00,277.59,278.44,277.51,278.08,213468.0,278.012,919
