entry_time,entry_price,exit_price,net_pnl
2025-04-10 10:36:00-04:00,257.24,258.69999999999993,14.399999999999228
2025-04-10 13:45:00-04:00,249.27,252.95000000000002,36.600000000000065
2025-04-10 13:47:00-04:00,248.36,248.46000000000004,0.8000000000002274
2025-04-10 13:56:00-04:00,251.16,254.04,28.599999999999955
2025-04-10 13:56:00-04:00,251.16,253.46,22.800000000000114
2025-04-10 13:57:00-04:00,251.19,253.20999999999998,19.99999999999982
2025-04-10 14:05:00-04:00,252.59,254.31000000000003,17.000000000000274
2025-04-10 14:33:00-04:00,254.22,253.6,-6.400000000000046
2025-04-10 14:41:00-04:00,255.22,255.23999999999998,-1.819100425848319e-13
2025-04-10 14:44:00-04:00,255.97,256.81000000000006,8.200000000000603
