date,open,high,low,close,volume,average,barCount
2025-04-03 09:30:00-04:00,265.31,268.2,264.0,268.13,1674344.0,265.852,5032
2025-04-03 09:31:00-04:00,268.15,271.44,267.99,270.67,1142739.0,270.187,5498
2025-04-03 09:32:00-04:00,270.74,272.6,269.25,272.15,922774.0,270.86,4561
2025-04-03 09:33:00-04:00,272.09,272.29,270.16,270.7,709785.0,271.301,3489
2025-04-03 09:34:00-04:00,270.62,272.93,270.37,272.66,707820.0,271.671,3655
2025-04-03 09:35:00-04:00,272.73,273.52,271.85,273.39,815404.0,272.77,3948
2025-04-03 09:36:00-04:00,273.29,273.5,271.31,272.01,631812.0,272.143,3215
2025-04-03 09:37:00-04:00,272.01,273.3,271.57,273.01,539150.0,272.599,2652
2025-04-03 09:38:00-04:00,273.04,274.34,272.38,274.08,696237.0,273.518,3333
2025-04-03 09:39:00-04:00,274.15,276.3,274.08,275.84,957588.0,275.475,4537
2025-04-03 09:40:00-04:00,275.85,275.9,272.57,273.16,837040.0,274.079,3870
2025-04-03 09:41:00-04:00,273.1,274.9,272.52,274.27,572791.0,273.851,2780
2025-04-03 09:42:00-04:00,274.37,274.43,271.83,272.84,567887.0,272.821,2558
2025-04-03 09:43:00-04:00,272.8,273.23,270.68,270.84,602507.0,271.813,2933
2025-04-03 09:44:00-04:00,270.88,272.2,270.61,271.53,538501.0,271.276,2503
2025-04-03 09:45:00-04:00,271.31,271.99,270.44,271.52,434407.0,271.288,1974
2025-04-03 09:46:00-04:00,271.27,273.43,270.97,272.12,471829.0,272.413,2319
2025-04-03 09:47:00-04:00,272.03,272.22,270.26,270.27,405509.0,271.092,1893
2025-04-03 09:48:00-04:00,270.26,271.77,270.01,271.43,389625.0,270.853,2037
2025-04-03 09:49:00-04:00,271.43,271.6,270.7,271.53,262402.0,271.202,1316
2025-04-03 09:50:00-04:00,271.47,274.18,271.05,273.5,646473.0,273.222,2955
2025-04-03 09:51:00-04:00,273.37,274.32,272.34,274.15,494580.0,273.463,2408
2025-04-03 09:52:00-04:00,274.11,275.1,273.55,274.2,607830.0,274.339,2656
