date,open,high,low,close,volume,average,barCount
2025-04-02 09:30:00-04:00,254.55,254.99,252.1,252.19,1584168.0,254.005,5287
2025-04-02 09:31:00-04:00,252.23,253.53,251.58,253.33,874657.0,252.386,4293
2025-04-02 09:32:00-04:00,253.26,254.8,251.27,251.81,912130.0,252.757,4355
2025-04-02 09:33:00-04:00,251.87,253.78,251.56,253.74,645853.0,252.598,3153
2025-04-02 09:34:00-04:00,253.74,254.87,252.38,254.4,747928.0,253.885,3769
2025-04-02 09:35:00-04:00,254.38,257.35,253.89,256.31,1058271.0,255.746,5160
2025-04-02 09:36:00-04:00,256.31,257.3,255.23,256.66,742575.0,256.311,3302
2025-04-02 09:37:00-04:00,256.71,258.49,256.71,258.07,820006.0,257.933,4007
2025-04-02 09:38:00-04:00,258.07,258.15,255.26,255.35,737842.0,256.835,3701
2025-04-02 09:39:00-04:00,255.46,256.31,254.54,255.63,692648.0,255.581,3488
2025-04-02 09:40:00-04:00,255.59,256.71,255.44,256.46,474769.0,256.147,2550
2025-04-02 09:41:00-04:00,256.42,258.0,256.24,256.68,553384.0,257.05,2768
2025-04-02 09:42:00-04:00,256.72,257.38,255.57,255.94,568149.0,256.422,2949
2025-04-02 09:43:00-04:00,255.87,256.8,255.25,256.69,433632.0,255.996,2243
2025-04-02 09:44:00-04:00,256.69,259.23,256.4,258.77,772088.0,258.019,3766
2025-04-02 09:45:00-04:00,258.8,260.49,258.14,260.0,823871.0,259.534,3854
2025-04-02 09:46:00-04:00,259.99,260.64,259.35,259.74,606638.0,260.027,2824
2025-04-02 09:47:00-04:00,259.81,260.55,258.9,259.0,525217.0,259.696,2672
2025-04-02 09:48:00-04:00,258.93,260.05,258.89,259.75,370409.0,259.455,1956
2025-04-02 09:49:00-04:00,259.85,262.14,259.85,261.8,760229.0,261.164,3462
2025-04-02 09:50:00-04:00,261.64,262.2,260.8,261.69,600312.0,261.535,2775
2025-04-02 09:51:00-04:00,261.59,262.93,261.44,262.22,603498.0,262.262,2930
2025-04-02 09:52:00-04:00,262.21,263.15,262.07,262.57,494673.0,262.652,2524
2025-04-02 09:53:00-04:00,262.59,262.63,261.2,261.81,573038.0,261.752,2956
2025-04-02 09:54:00-04:00,261.81,262.65,261.66,262.03,365888.0,262.189,1969
2025-04-02 09:55:00-04:00,262.01,262.6,261.2,261.4,474600.0,261.954,2477
2025-04-02 09:56:00-04:00,261.36,263.66,261.35,263.54,504024.0,262.354,2496
2025-04-02 09:57:00-04:00,263.64,263.65,261.6,261.68,438770.0,262.437,2045
2025-04-02 09:58:00-04:00,261.72,262.55,261.55,262.22,288385.0,262.043,1529
2025-04-02 09:59:00-04:00,262.3,262.67,261.54,261.84,318190.0,262.067,1504
2025-04-02 10:00:00-04:00,261.84,264.28,261.35,263.96,602720.0,262.881,2515
2025-04-02 10:01:00-04:00,263.91,265.26,263.61,265.06,666235.0,264.57,2890
2025-04-02 10:02:00-04:00,265.09,266.2,264.88,265.73,628779.0,265.56,2694
2025-04-02 10:03:00-04:00,265.7,266.49,265.55,266.15,638373.0,266.049,2818
2025-04-02 10:04:00-04:00,266.15,266.39,265.11,265.31,515083.0,265.647,2382
2025-04-02 10:05:00-04:00,265.41,265.98,265.03,265.31,326860.0,265.529,1613
2025-04-02 10:06:00-04:00,265.39,266.38,265.12,265.61,415153.0,265.809,1959
2025-04-02 10:07:00-04:00,265.61,265.66,264.2,264.38,557303.0,264.867,2393
2025-04-02 10:08:00-04:00,264.31,264.46,263.12,263.18,632195.0,263.629,2719
2025-04-02 10:09:00-04:00,263.25,263.32,262.52,262.95,496474.0,262.884,2146
2025-04-02 10:10:00-04:00,262.95,263.65,262.02,262.28,439676.0,262.81,2032
2025-04-02 10:11:00-04:00,262.27,262.41,260.85,261.72,632243.0,261.464,2938
2025-04-02 10:12:00-04:00,261.7,263.48,261.46,263.0,496215.0,262.642,2149
2025-04-02 10:13:00-04:00,262.97,263.8,262.73,262.74,381132.0,263.255,1828
2025-04-02 10:14:00-04:00,262.82,263.0,261.22,261.93,415414.0,261.929,2037
2025-04-02 10:15:00-04:00,261.91,262.56,261.5,262.11,260253.0,262.027,1226
2025-04-02 10:16:00-04:00,262.14,263.37,261.8,262.66,329782.0,262.738,1590
2025-04-02 10:17:00-04:00,262.7,263.97,262.55,263.39,399721.0,263.29,1707
2025-04-02 10:18:00-04:00,263.38,263.48,262.81,263.4,214671.0,263.165,989
2025-04-02 10:19:00-04:00,263.44,263.44,262.28,263.0,259248.0,262.805,1251
2025-04-02 10:20:00-04:00,262.98,264.56,262.81,264.18,405323.0,263.834,1869
2025-04-02 10:21:00-04:00,264.17,264.38,263.76,263.85,239703.0,264.091,1110
2025-04-02 10:22:00-04:00,263.85,264.0,263.19,263.4,212875.0,263.587,1153
2025-04-02 10:23:00-04:00,263.42,264.44,263.2,264.3,288329.0,264.003,1462
2025-04-02 10:24:00-04:00,264.3,265.03,264.26,264.43,349670.0,264.686,1590
2025-04-02 10:25:00-04:00,264.45,264.56,262.52,262.86,379987.0,263.577,1693
2025-04-02 10:26:00-04:00,262.84,262.89,261.76,262.07,396292.0,262.23,1862
2025-04-02 10:27:00-04:00,262.03,262.17,261.4,262.04,303857.0,261.793,1425
2025-04-02 10:28:00-04:00,262.02,262.9,262.02,262.61,261529.0,262.491,1254
2025-04-02 10:29:00-04:00,262.59,263.3,262.5,263.02,286826.0,263.044,1426
2025-04-02 10:30:00-04:00,263.0,263.2,262.37,262.49,216915.0,262.716,1005
2025-04-02 10:31:00-04:00,262.49,262.86,262.06,262.69,256802.0,262.467,1191
2025-04-02 10:32:00-04:00,262.7,263.75,262.25,262.98,313956.0,263.077,1328
2025-04-02 10:33:00-04:00,262.94,263.0,262.25,262.57,216981.0,262.576,1033
2025-04-02 10:34:00-04:00,262.57,262.58,261.52,261.79,335318.0,261.953,1540
2025-04-02 10:35:00-04:00,261.89,262.1,260.6,260.98,406983.0,261.248,1805
2025-04-02 10:36:00-04:00,260.97,261.03,260.13,260.44,516853.0,260.413,2193
2025-04-02 10:37:00-04:00,260.48,261.25,260.38,260.91,323997.0,260.823,1678
2025-04-02 10:38:00-04:00,260.91,261.35,260.17,260.5,283476.0,260.643,1436
2025-04-02 10:39:00-04:00,260.5,262.35,260.35,261.83,433036.0,261.59,1939
2025-04-02 10:40:00-04:00,261.77,261.81,260.83,261.75,266996.0,261.32,1434
2025-04-02 10:41:00-04:00,261.75,262.75,261.65,262.44,333871.0,262.218,1361
2025-04-02 10:42:00-04:00,262.33,262.5,261.53,262.06,236852.0,261.972,1051
2025-04-02 10:43:00-04:00,262.06,262.53,261.18,261.22,233645.0,261.973,1087
2025-04-02 10:44:00-04:00,261.18,261.77,261.0,261.64,191525.0,261.444,958
2025-04-02 10:45:00-04:00,261.66,262.77,261.65,262.68,283721.0,262.338,1362
2025-04-02 10:46:00-04:00,262.66,263.72,262.39,263.44,426131.0,263.018,1935
2025-04-02 10:47:00-04:00,263.46,263.98,262.72,262.86,360561.0,263.372,1600
2025-04-02 10:48:00-04:00,262.85,263.04,262.34,262.79,202784.0,262.722,955
2025-04-02 10:49:00-04:00,262.85,263.68,262.74,263.45,272792.0,263.211,1381
2025-04-02 10:50:00-04:00,263.49,263.9,263.21,263.77,234734.0,263.608,1101
2025-04-02 10:51:00-04:00,263.76,264.6,263.76,263.82,391918.0,264.211,1788
2025-04-02 10:52:00-04:00,263.8,264.09,263.4,263.49,247425.0,263.698,1196
2025-04-02 10:53:00-04:00,263.54,263.94,263.23,263.52,192623.0,263.606,1003
2025-04-02 10:54:00-04:00,263.55,263.75,262.94,263.27,206980.0,263.288,1032
2025-04-02 10:55:00-04:00,263.2,263.69,262.98,263.39,169587.0,263.41,827
2025-04-02 10:56:00-04:00,263.3,264.36,262.97,264.02,365572.0,263.828,1301
2025-04-02 10:57:00-04:00,264.0,264.69,263.91,264.66,323892.0,264.277,1492
2025-04-02 10:58:00-04:00,264.63,265.25,264.6,264.83,459787.0,265.041,2083
2025-04-02 10:59:00-04:00,264.84,265.17,264.41,264.92,269695.0,264.869,1295
2025-04-02 11:00:00-04:00,264.9,264.9,263.74,264.43,294286.0,264.138,1330
2025-04-02 11:01:00-04:00,264.42,264.9,264.32,264.58,179092.0,264.629,887
2025-04-02 11:02:00-04:00,264.57,265.4,264.45,264.69,269810.0,264.898,1172
2025-04-02 11:03:00-04:00,264.71,265.33,264.68,265.25,231241.0,265.074,1078
2025-04-02 11:04:00-04:00,265.26,266.15,265.15,266.06,525865.0,265.806,2103
2025-04-02 11:05:00-04:00,266.04,266.2,265.51,265.88,302522.0,265.826,1314
2025-04-02 11:06:00-04:00,265.84,266.14,265.61,265.93,297310.0,265.895,1411
2025-04-02 11:07:00-04:00,265.98,266.4,265.83,266.16,334941.0,266.12,1548
2025-04-02 11:08:00-04:00,266.16,266.2,265.33,265.68,250106.0,265.656,1105
2025-04-02 11:09:00-04:00,265.65,267.1,265.6,266.84,450565.0,266.542,1900
2025-04-02 11:10:00-04:00,266.85,266.92,265.79,266.49,362976.0,266.347,1915
2025-04-02 11:11:00-04:00,266.49,266.57,265.95,266.35,202252.0,266.314,1107
2025-04-02 11:12:00-04:00,266.4,266.84,265.83,266.02,261701.0,266.305,1396
2025-04-02 11:13:00-04:00,266.04,266.15,265.41,265.72,289734.0,265.768,1450
2025-04-02 11:14:00-04:00,265.67,266.0,265.23,265.74,271049.0,265.613,1171
2025-04-02 11:15:00-04:00,265.74,266.39,265.53,266.36,260846.0,265.915,1249
2025-04-02 11:16:00-04:00,266.37,266.65,265.81,266.34,279024.0,266.256,1175
2025-04-02 11:17:00-04:00,266.38,267.7,265.73,267.03,418576.0,266.764,2077
2025-04-02 11:18:00-04:00,267.0,268.46,266.81,268.0,639844.0,268.087,2688
2025-04-02 11:19:00-04:00,268.01,268.97,267.68,268.9,521633.0,268.306,2501
2025-04-02 11:20:00-04:00,268.89,271.83,268.56,271.67,1232669.0,269.93,6119
2025-04-02 11:21:00-04:00,271.62,272.6,270.36,272.23,1451105.0,271.552,7058
2025-04-02 11:22:00-04:00,272.27,275.4,271.54,275.17,1425154.0,273.504,6859
2025-04-02 11:23:00-04:00,275.1,275.73,273.47,275.43,1195131.0,274.635,5798
2025-04-02 11:24:00-04:00,275.4,275.83,273.45,273.45,798607.0,274.362,3566
2025-04-02 11:25:00-04:00,273.56,275.56,273.11,274.93,782763.0,274.678,3806
2025-04-02 11:26:00-04:00,275.0,275.35,273.72,275.0,636493.0,274.789,3382
2025-04-02 11:27:00-04:00,275.07,276.52,274.2,276.39,934963.0,275.503,4408
2025-04-02 11:28:00-04:00,276.38,276.99,275.63,275.69,833570.0,276.503,3789
2025-04-02 11:29:00-04:00,275.69,275.82,274.27,275.52,597657.0,275.275,3278
2025-04-02 11:30:00-04:00,275.5,275.53,274.32,274.9,512854.0,274.854,2551
2025-04-02 11:31:00-04:00,274.93,274.97,273.55,274.33,592985.0,274.226,2884
2025-04-02 11:32:00-04:00,274.33,275.39,274.13,274.61,419381.0,274.83,2247
2025-04-02 11:33:00-04:00,274.63,275.36,274.2,274.92,353688.0,274.841,2022
2025-04-02 11:34:00-04:00,274.89,276.94,274.89,276.83,700588.0,276.09,3353
2025-04-02 11:35:00-04:00,276.83,278.48,276.42,277.0,1018938.0,277.384,4655
2025-04-02 11:36:00-04:00,276.95,278.88,276.76,278.74,832583.0,278.101,4000
2025-04-02 11:37:00-04:00,278.6,280.4,278.4,279.91,1103587.0,279.646,5443
2025-04-02 11:38:00-04:00,279.91,281.6,279.69,281.55,1066391.0,280.729,4815
2025-04-02 11:39:00-04:00,281.57,281.61,279.68,279.85,967804.0,280.523,4385
2025-04-02 11:40:00-04:00,279.84,280.3,278.64,279.5,735601.0,279.352,3520
2025-04-02 11:41:00-04:00,279.53,279.67,278.39,278.66,575443.0,278.874,2885
