entry_time,entry_price,exit_price,net_pnl
2025-03-26 10:55:00-04:00,277.65,277.30999999999983,-3.6000000000014554
2025-03-26 11:19:00-04:00,279.22,281.06000000000006,18.20000000000032
2025-03-26 11:21:00-04:00,278.85,278.65,-2.200000000000455
2025-03-26 11:22:00-04:00,277.85,275.31000000000006,-25.599999999999635
2025-03-26 13:43:00-04:00,272.08,273.59999999999985,14.999999999998682
2025-03-26 13:44:00-04:00,272.65,274.94999999999993,22.799999999999546
2025-03-26 13:46:00-04:00,272.2,271.5599999999999,-6.600000000001001
2025-03-26 13:47:00-04:00,271.71,269.4299999999999,-23.000000000000863
2025-03-26 14:16:00-04:00,271.65,271.02999999999986,-6.4000000000011825
2025-03-26 14:20:00-04:00,271.6,270.4200000000001,-11.999999999999499
