date,open,high,low,close,volume,average,barCount
2025-03-31 09:30:00-04:00,249.41,250.88,248.85,250.04,1791330.0,249.649,4145
2025-03-31 09:31:00-04:00,250.15,250.26,248.1,249.05,676703.0,249.203,3301
2025-03-31 09:32:00-04:00,249.08,249.24,246.0,246.11,993462.0,247.28,4433
2025-03-31 09:33:00-04:00,246.15,246.6,243.66,243.79,1071506.0,245.007,4537
2025-03-31 09:34:00-04:00,243.77,245.47,243.66,244.62,877804.0,244.4,3859
2025-03-31 09:35:00-04:00,244.68,245.16,243.36,244.03,814139.0,244.296,3629
2025-03-31 09:36:00-04:00,244.09,246.75,243.88,246.34,790744.0,245.826,3436
2025-03-31 09:37:00-04:00,246.42,247.35,245.91,246.97,533901.0,246.762,2448
2025-03-31 09:38:00-04:00,246.97,247.49,245.76,246.8,422955.0,246.602,1884
2025-03-31 09:39:00-04:00,246.86,247.3,245.68,246.21,440175.0,246.429,2164
2025-03-31 09:40:00-04:00,246.2,246.94,245.0,245.51,471538.0,245.594,2242
2025-03-31 09:41:00-04:00,245.56,246.1,244.86,245.95,440173.0,245.294,2039
2025-03-31 09:42:00-04:00,245.89,245.98,244.41,245.43,545233.0,245.167,2513
2025-03-31 09:43:00-04:00,245.53,245.76,244.65,245.07,318713.0,245.094,1702
2025-03-31 09:44:00-04:00,245.21,245.65,244.0,244.02,450786.0,244.584,2068
2025-03-31 09:45:00-04:00,244.01,244.44,243.45,244.44,520070.0,243.901,2330
2025-03-31 09:46:00-04:00,244.42,245.62,244.09,245.39,528706.0,245.017,2592
2025-03-31 09:47:00-04:00,245.41,246.3,245.2,245.64,449085.0,245.825,2113
2025-03-31 09:48:00-04:00,245.61,245.87,244.73,245.85,325900.0,245.28,1574
2025-03-31 09:49:00-04:00,245.85,246.78,245.53,245.93,459230.0,246.19,2416
2025-03-31 09:50:00-04:00,245.85,246.48,245.52,246.27,340373.0,245.935,1625
2025-03-31 09:51:00-04:00,246.3,247.8,245.96,247.64,519722.0,246.881,2304
2025-03-31 09:52:00-04:00,247.69,248.62,247.03,247.3,543771.0,247.844,2375
2025-03-31 09:53:00-04:00,247.23,249.1,247.22,248.91,519240.0,248.43,2477
2025-03-31 09:54:00-04:00,248.93,249.29,248.05,248.48,395072.0,248.589,1854
2025-03-31 09:55:00-04:00,248.47,249.09,248.18,248.45,287084.0,248.602,1431
2025-03-31 09:56:00-04:00,248.46,248.62,247.44,247.52,469473.0,247.973,2204
2025-03-31 09:57:00-04:00,247.53,250.0,247.5,249.33,623413.0,249.036,2969
2025-03-31 09:58:00-04:00,249.32,249.67,248.38,248.63,386305.0,248.954,2063
2025-03-31 09:59:00-04:00,248.64,249.21,248.24,248.84,255469.0,248.567,1244
2025-03-31 10:00:00-04:00,248.81,249.73,248.4,249.09,289342.0,249.202,1389
2025-03-31 10:01:00-04:00,249.09,250.98,248.97,250.73,589389.0,250.222,2540
2025-03-31 10:02:00-04:00,250.75,251.46,249.8,250.37,598280.0,250.625,2809
2025-03-31 10:03:00-04:00,250.27,250.75,249.69,250.34,363278.0,250.173,1782
2025-03-31 10:04:00-04:00,250.33,250.63,249.51,250.16,331502.0,250.226,1555
2025-03-31 10:05:00-04:00,250.19,250.48,249.3,249.69,334833.0,249.94,1588
2025-03-31 10:06:00-04:00,249.69,250.51,249.5,250.1,383531.0,249.988,1691
2025-03-31 10:07:00-04:00,250.1,250.47,249.5,250.38,315934.0,250.12,1498
2025-03-31 10:08:00-04:00,250.25,251.84,250.23,251.53,516998.0,251.108,2416
2025-03-31 10:09:00-04:00,251.52,251.92,250.98,251.47,352319.0,251.41,1509
2025-03-31 10:10:00-04:00,251.47,252.08,251.11,251.34,366900.0,251.606,1659
2025-03-31 10:11:00-04:00,251.34,251.61,250.04,250.22,348667.0,250.804,1583
2025-03-31 10:12:00-04:00,250.23,250.5,249.75,250.34,304071.0,250.171,1416
2025-03-31 10:13:00-04:00,250.31,250.66,249.45,249.68,361167.0,249.934,1668
2025-03-31 10:14:00-04:00,249.69,250.12,249.56,249.92,252215.0,249.841,1261
2025-03-31 10:15:00-04:00,249.87,250.06,249.41,249.59,211580.0,249.673,1083
2025-03-31 10:16:00-04:00,249.55,249.7,247.8,247.99,615306.0,248.53,2358
2025-03-31 10:17:00-04:00,247.96,248.3,247.5,248.0,388549.0,247.888,1753
2025-03-31 10:18:00-04:00,248.07,248.5,247.36,247.45,318455.0,247.844,1396
2025-03-31 10:19:00-04:00,247.45,248.15,247.36,248.06,250563.0,247.756,1202
2025-03-31 10:20:00-04:00,248.08,248.84,248.06,248.71,306910.0,248.499,1470
2025-03-31 10:21:00-04:00,248.75,248.99,247.11,247.31,383707.0,248.113,1803
2025-03-31 10:22:00-04:00,247.31,247.81,246.99,247.19,294640.0,247.308,1287
2025-03-31 10:23:00-04:00,247.21,247.81,247.1,247.53,226602.0,247.516,1050
2025-03-31 10:24:00-04:00,247.54,248.33,247.35,247.73,262325.0,247.855,1302
2025-03-31 10:25:00-04:00,247.67,247.69,246.43,246.74,401740.0,246.84,1758
2025-03-31 10:26:00-04:00,246.7,247.09,246.3,246.57,318648.0,246.736,1439
2025-03-31 10:27:00-04:00,246.58,246.59,245.98,246.32,268681.0,246.266,1314
2025-03-31 10:28:00-04:00,246.36,246.53,245.9,245.91,254448.0,246.239,1187
2025-03-31 10:29:00-04:00,245.94,246.0,245.15,245.39,395165.0,245.55,1856
2025-03-31 10:30:00-04:00,245.36,247.2,245.36,246.06,552638.0,246.294,2676
2025-03-31 10:31:00-04:00,246.09,246.19,245.27,245.47,315783.0,245.647,1412
2025-03-31 10:32:00-04:00,245.5,246.2,245.21,245.89,280634.0,245.752,1331
2025-03-31 10:33:00-04:00,245.92,247.05,245.91,247.03,330456.0,246.43,1733
2025-03-31 10:34:00-04:00,247.05,248.14,247.05,247.66,386104.0,247.64,1716
2025-03-31 10:35:00-04:00,247.66,247.98,247.0,247.71,369704.0,247.475,1907
2025-03-31 10:36:00-04:00,247.68,247.74,246.93,247.12,196397.0,247.267,936
2025-03-31 10:37:00-04:00,247.17,247.44,246.67,246.74,199404.0,246.911,992
2025-03-31 10:38:00-04:00,246.72,247.32,246.18,247.27,250554.0,246.683,1143
2025-03-31 10:39:00-04:00,247.25,247.49,246.6,247.09,211120.0,247.112,1021
2025-03-31 10:40:00-04:00,247.18,247.25,246.33,247.0,185142.0,246.751,967
2025-03-31 10:41:00-04:00,247.04,247.86,246.96,247.51,257357.0,247.467,1364
2025-03-31 10:42:00-04:00,247.53,247.75,246.34,246.81,241556.0,246.885,1191
2025-03-31 10:43:00-04:00,246.89,247.22,246.09,246.95,231034.0,246.713,1122
2025-03-31 10:44:00-04:00,246.97,247.44,246.45,246.45,221635.0,246.963,1097
2025-03-31 10:45:00-04:00,246.46,247.0,246.32,246.64,187947.0,246.634,932
2025-03-31 10:46:00-04:00,246.63,247.62,246.2,247.3,253383.0,247.092,1202
2025-03-31 10:47:00-04:00,247.26,247.9,247.08,247.6,278413.0,247.532,1179
2025-03-31 10:48:00-04:00,247.57,248.06,247.06,247.78,272085.0,247.626,1226
2025-03-31 10:49:00-04:00,247.81,248.37,247.64,247.88,266327.0,247.966,1161
2025-03-31 10:50:00-04:00,247.91,248.74,247.79,248.59,329025.0,248.194,1656
2025-03-31 10:51:00-04:00,248.71,248.79,247.7,247.86,260310.0,248.313,1262
2025-03-31 10:52:00-04:00,247.87,247.87,247.0,247.53,248129.0,247.323,1127
2025-03-31 10:53:00-04:00,247.59,248.39,247.32,248.27,183504.0,247.891,863
2025-03-31 10:54:00-04:00,248.28,249.23,248.24,249.06,259602.0,248.971,1217
2025-03-31 10:55:00-04:00,249.1,249.14,248.0,248.22,215731.0,248.655,992
2025-03-31 10:56:00-04:00,248.24,248.59,247.82,247.99,200803.0,248.151,877
2025-03-31 10:57:00-04:00,248.0,248.4,247.76,248.1,137384.0,248.06,665
2025-03-31 10:58:00-04:00,248.06,248.24,247.7,248.19,192238.0,247.954,824
2025-03-31 10:59:00-04:00,248.2,248.65,247.71,247.91,179517.0,248.18,894
2025-03-31 11:00:00-04:00,247.91,249.31,247.83,249.01,321103.0,248.642,1456
2025-03-31 11:01:00-04:00,248.95,249.49,248.57,248.87,204955.0,249.046,899
2025-03-31 11:02:00-04:00,248.92,249.37,248.7,249.23,138018.0,249.043,691
2025-03-31 11:03:00-04:00,249.22,249.25,248.76,249.08,169416.0,248.976,826
2025-03-31 11:04:00-04:00,249.14,249.4,248.74,248.92,222409.0,249.027,857
2025-03-31 11:05:00-04:00,248.86,249.46,248.52,249.46,312727.0,248.958,1210
2025-03-31 11:06:00-04:00,249.48,249.9,249.2,249.36,254536.0,249.56,1187
2025-03-31 11:07:00-04:00,249.34,250.58,249.28,250.29,298207.0,249.962,1241
2025-03-31 11:08:00-04:00,250.31,250.45,249.44,249.52,264570.0,249.909,1134
2025-03-31 11:09:00-04:00,249.45,249.62,248.7,248.7,290950.0,249.045,1256
2025-03-31 11:10:00-04:00,248.74,249.25,248.56,249.03,195246.0,248.921,948
2025-03-31 11:11:00-04:00,249.09,249.64,248.88,249.2,203285.0,249.285,1019
2025-03-31 11:12:00-04:00,249.18,250.07,249.1,249.56,237457.0,249.776,1093
2025-03-31 11:13:00-04:00,249.43,249.54,248.43,248.68,286616.0,248.806,1395
2025-03-31 11:14:00-04:00,248.64,248.87,248.08,248.31,241628.0,248.366,1081
2025-03-31 11:15:00-04:00,248.3,248.96,248.25,248.72,175028.0,248.696,900
2025-03-31 11:16:00-04:00,248.74,249.94,248.63,249.93,215226.0,249.37,879
2025-03-31 11:17:00-04:00,249.88,250.0,249.5,249.88,219226.0,249.815,1001
2025-03-31 11:18:00-04:00,249.85,250.33,249.56,249.9,234248.0,249.974,1110
2025-03-31 11:19:00-04:00,249.97,250.67,249.93,250.13,274395.0,250.384,1200
2025-03-31 11:20:00-04:00,250.17,250.51,249.9,250.39,215355.0,250.239,1076
2025-03-31 11:21:00-04:00,250.43,251.47,250.39,250.95,333286.0,250.998,1581
2025-03-31 11:22:00-04:00,250.98,251.26,250.43,250.88,196271.0,250.944,1062
2025-03-31 11:23:00-04:00,250.93,251.08,250.45,250.81,174238.0,250.8,927
2025-03-31 11:24:00-04:00,250.79,251.8,250.75,251.71,338364.0,251.325,1653
2025-03-31 11:25:00-04:00,251.73,252.3,251.37,251.45,395819.0,251.867,1806
2025-03-31 11:26:00-04:00,251.45,251.52,250.94,251.43,244709.0,251.182,1211
2025-03-31 11:27:00-04:00,251.43,251.56,250.85,250.96,175826.0,251.199,788
2025-03-31 11:28:00-04:00,250.98,251.56,250.87,251.1,185001.0,251.205,952
2025-03-31 11:29:00-04:00,251.1,251.21,250.64,250.92,241204.0,250.901,1143
2025-03-31 11:30:00-04:00,250.91,251.17,250.2,250.51,224944.0,250.624,932
2025-03-31 11:31:00-04:00,250.47,251.4,250.18,251.36,215202.0,250.81,955
2025-03-31 11:32:00-04:00,251.37,251.41,250.9,251.02,157520.0,251.147,688
2025-03-31 11:33:00-04:00,251.04,251.78,250.72,251.61,223118.0,251.327,952
2025-03-31 11:34:00-04:00,251.66,251.75,251.24,251.64,167851.0,251.545,801
2025-03-31 11:35:00-04:00,251.62,252.74,251.47,252.45,333516.0,252.194,1319
2025-03-31 11:36:00-04:00,252.4,253.2,252.16,253.04,398407.0,252.79,1740
2025-03-31 11:37:00-04:00,253.03,253.5,252.84,253.14,295237.0,253.242,1162
2025-03-31 11:38:00-04:00,253.13,253.21,252.73,253.09,223897.0,253.007,1049
2025-03-31 11:39:00-04:00,253.03,253.44,252.72,253.36,258336.0,253.107,1217
2025-03-31 11:40:00-04:00,253.32,254.06,252.91,254.03,358169.0,253.534,1406
2025-03-31 11:41:00-04:00,254.0,254.06,252.58,252.79,312367.0,253.267,1495
2025-03-31 11:42:00-04:00,252.75,253.28,252.6,252.65,217329.0,252.895,954
2025-03-31 11:43:00-04:00,252.66,253.07,252.32,252.91,229365.0,252.677,1017
2025-03-31 11:44:00-04:00,252.88,252.91,252.46,252.55,124736.0,252.67,543
2025-03-31 11:45:00-04:00,252.51,253.29,252.51,253.21,192373.0,252.968,844
2025-03-31 11:46:00-04:00,253.21,254.3,253.21,253.84,300476.0,253.856,1290
2025-03-31 11:47:00-04:00,253.84,253.91,253.3,253.48,121765.0,253.627,549
2025-03-31 11:48:00-04:00,253.49,253.73,253.05,253.3,125262.0,253.377,657
2025-03-31 11:49:00-04:00,253.3,254.3,253.07,254.21,233081.0,253.804,1074
2025-03-31 11:50:00-04:00,254.25,254.26,253.6,253.67,147396.0,253.844,722
2025-03-31 11:51:00-04:00,253.7,254.0,253.55,253.85,129148.0,253.75,691
2025-03-31 11:52:00-04:00,253.87,253.92,253.13,253.79,149002.0,253.625,706
2025-03-31 11:53:00-04:00,253.85,253.88,253.49,253.84,102158.0,253.673,495
2025-03-31 11:54:00-04:00,253.8,253.85,252.94,253.04,188049.0,253.254,783
2025-03-31 11:55:00-04:00,253.06,253.36,252.44,252.53,226855.0,252.807,1051
2025-03-31 11:56:00-04:00,252.55,252.98,252.25,252.88,203669.0,252.6,902
2025-03-31 11:57:00-04:00,252.82,253.17,252.69,253.0,129390.0,252.943,634
2025-03-31 11:58:00-04:00,253.01,253.23,252.35,252.55,173090.0,252.753,791
2025-03-31 11:59:00-04:00,252.58,252.65,252.15,252.43,159943.0,252.387,806
2025-03-31 12:00:00-04:00,252.39,253.27,252.13,253.15,246893.0,252.718,1030
2025-03-31 12:01:00-04:00,253.08,253.36,252.86,253.0,114610.0,253.075,518
2025-03-31 12:02:00-04:00,252.94,253.67,252.92,253.52,172511.0,253.378,699
2025-03-31 12:03:00-04:00,253.59,253.59,252.66,252.69,132363.0,253.157,567
2025-03-31 12:04:00-04:00,252.68,252.94,252.37,252.8,164761.0,252.678,635
2025-03-31 12:05:00-04:00,252.73,252.93,252.12,252.12,137548.0,252.489,644
2025-03-31 12:06:00-04:00,252.15,252.4,251.89,251.92,189983.0,252.102,892
2025-03-31 12:07:00-04:00,251.93,252.0,251.52,251.68,203954.0,251.752,990
2025-03-31 12:08:00-04:00,251.7,252.09,251.53,252.08,144062.0,251.811,577
2025-03-31 12:09:00-04:00,252.01,252.1,251.25,251.66,172106.0,251.647,732
2025-03-31 12:10:00-04:00,251.66,251.82,251.01,251.18,213599.0,251.257,893
2025-03-31 12:11:00-04:00,251.12,251.19,250.75,250.93,246014.0,250.95,947
2025-03-31 12:12:00-04:00,250.9,251.92,250.7,251.63,215974.0,251.403,955
2025-03-31 12:13:00-04:00,251.62,251.86,250.54,250.61,196940.0,251.087,875
2025-03-31 12:14:00-04:00,250.61,251.07,250.47,250.84,233305.0,250.862,982
2025-03-31 12:15:00-04:00,250.8,251.52,250.78,251.43,159450.0,251.149,678
