date,open,high,low,close,volume,average,barCount
2025-04-07 09:30:00-04:00,223.8,224.12,222.11,222.63,2272790.0,223.487,3086
2025-04-07 09:31:00-04:00,222.57,225.5,222.52,225.43,871091.0,224.379,3851
2025-04-07 09:32:00-04:00,225.38,225.57,220.54,220.82,854229.0,222.597,3583
2025-04-07 09:33:00-04:00,220.89,222.49,220.57,222.21,585478.0,221.54,2755
2025-04-07 09:34:00-04:00,222.34,224.97,222.0,224.39,694250.0,223.367,3092
2025-04-07 09:35:00-04:00,224.35,224.47,221.25,221.85,521104.0,222.276,2862
2025-04-07 09:36:00-04:00,221.8,222.17,220.52,220.81,513191.0,221.156,2616
2025-04-07 09:37:00-04:00,220.83,221.28,220.36,220.45,522421.0,220.688,2426
2025-04-07 09:38:00-04:00,220.44,220.61,217.41,217.8,959913.0,218.957,3923
2025-04-07 09:39:00-04:00,217.79,220.0,217.72,219.74,662920.0,218.871,2969
2025-04-07 09:40:00-04:00,219.59,220.1,217.05,217.24,722084.0,218.317,3782
2025-04-07 09:41:00-04:00,217.09,219.09,217.07,217.35,491760.0,218.078,2462
2025-04-07 09:42:00-04:00,217.4,217.44,215.62,215.74,718943.0,216.4,3039
2025-04-07 09:43:00-04:00,215.69,216.46,214.69,215.61,932496.0,215.439,4105
2025-04-07 09:44:00-04:00,215.47,216.15,214.25,216.06,672771.0,215.289,3215
2025-04-07 09:45:00-04:00,216.06,216.23,214.72,215.91,534117.0,215.49,2651
2025-04-07 09:46:00-04:00,215.89,218.44,215.45,217.93,662318.0,217.422,2979
2025-04-07 09:47:00-04:00,217.97,219.94,217.84,219.88,563979.0,219.03,2622
2025-04-07 09:48:00-04:00,219.87,221.84,219.01,221.83,778783.0,220.358,3494
2025-04-07 09:49:00-04:00,221.73,222.8,221.09,221.2,539694.0,221.945,2558
2025-04-07 09:50:00-04:00,221.19,223.7,221.14,223.28,505807.0,222.686,2341
