entry_time,entry_price,exit_price,net_pnl
2025-03-31 09:55:00-04:00,248.45,248.40999999999997,-0.6000000000002046
2025-03-31 09:59:00-04:00,248.84,248.24000000000004,-6.199999999999659
2025-03-31 10:03:00-04:00,250.34,251.32000000000002,9.600000000000183
2025-03-31 10:10:00-04:00,251.34,251.4,0.4000000000000227
2025-03-31 10:52:00-04:00,247.53,246.15,-13.999999999999954
2025-03-31 10:56:00-04:00,247.99,246.69000000000005,-13.199999999999545
2025-03-31 11:02:00-04:00,249.23,249.53,2.8000000000001135
2025-03-31 11:09:00-04:00,248.7,246.59999999999997,-21.200000000000227
2025-03-31 11:26:00-04:00,251.43,251.65000000000003,2.0000000000002727
2025-03-31 14:05:00-04:00,255.11,255.19000000000005,0.6000000000004093
2025-03-31 14:08:00-04:00,255.62,256.24,6.000000000000045
2025-03-31 14:11:00-04:00,257.43,260.79,33.400000000000134
2025-03-31 14:12:00-04:00,258.31,262.33,39.999999999999815
2025-03-31 14:14:00-04:00,257.24,257.15999999999997,-1.0000000000004092
2025-03-31 14:23:00-04:00,258.28,258.39999999999986,0.9999999999989087
2025-03-31 14:33:00-04:00,259.41,260.41,9.8
2025-03-31 14:34:00-04:00,259.47,259.75,2.599999999999727
2025-03-31 14:38:00-04:00,259.76,260.5799999999999,7.999999999999363
2025-03-31 15:24:00-04:00,259.01,258.78999999999996,-2.400000000000273
